date,delivered,quantity
2025-12-01,False,0.0
2025-12-02,True,1.0
2025-12-03,True,1.0
2025-12-04,True,1.0
2025-12-05,True,1.0
2025-12-06,False,0.0
2025-12-07,True,1.0
2025-12-08,True,1.0
2025-12-09,True,1.0
2025-12-10,True,1.0
2025-12-11,True,1.0
2025-12-12,True,1.0
2025-12-13,True,1.0
2025-12-14,True,1.5
2025-12-15,True,1.5
2025-12-16,True,1.5
2025-12-17,True,1.5
2025-12-18,True,1.5
2025-12-19,True,1.5
2025-12-20,True,1.5
2025-12-21,True,1.5
2025-12-22,True,1.5
2025-12-23,True,1.5
2025-12-24,True,1.5
2025-12-25,True,1.5
2025-12-26,True,1.5
2025-12-27,True,1.5
2025-12-28,True,1.5
2025-12-29,True,1.5
2025-12-30,True,1.5
2025-12-31,True,1.5
2026-01-01,True,1.5
2026-01-02,False,0.0
2026-01-03,False,0.0
2026-01-04,True,1.5
2026-01-05,True,1.5
2026-01-06,True,1.5
2026-01-07,False,0.0
2026-01-08,True,1.5
2026-01-09,True,1.5
2026-01-10,False,0.0
2026-01-11,False,0.0
2026-01-12,False,0.0
